r    N(r)    fit    slope3    slope2
# Fractal dimension D_f = 2.769444
# Intercept = -0.341764
# Std error = 0.016599

1.604897959183673706e+01 1.556859999999999900e+03 1.548791117940215827e+03 2.400247522835607924e+03 3.589383375959657769e+02
1.640816326530612201e+01 1.707819999999999936e+03 1.646699111388431220e+03 2.565037164467112689e+03 3.751845404742941241e+02
1.676734693877551052e+01 1.816880000000000109e+03 1.748473923530855927e+03 2.737201740308774333e+03 3.917903172593864269e+02
1.712653061224489903e+01 1.935369999999999891e+03 1.854180523600462266e+03 2.916902691706485257e+03 4.087556679512425717e+02
1.748571428571428754e+01 2.053039999999999964e+03 1.963883560688559555e+03 3.104301460006141497e+03 4.260805925498625015e+02
1.784489795918367605e+01 2.173260000000000218e+03 2.077647371989533895e+03 3.299559486553633178e+03 4.437650910552462733e+02
1.820408163265306456e+01 2.327670000000000073e+03 2.195535990668553950e+03 3.502838212694858157e+03 4.618091634673938302e+02
1.856326530612245307e+01 2.466889999999999873e+03 2.317613153376709306e+03 3.714299079775708378e+03 4.802128097863052290e+02
1.892244897959184158e+01 2.620659999999999854e+03 2.443942307436017472e+03 3.934103529142077150e+03 4.989760300119804128e+02
1.928163265306122298e+01 2.716119999999999891e+03 2.574586617714902331e+03 4.162413002139854143e+03 5.180988241444189271e+02
1.964081632653061149e+01 2.921539999999999964e+03 2.709608973213098125e+03 4.399388940114946308e+03 5.375811921836219653e+02
2.000000000000000000e+01 3.107829999999999927e+03 2.849071993373408986e+03 4.645192784413236950e+03 5.574231341295885613e+02
